variable_specification,sample_group,max_scalar,min_scalar,nominal_2050
ef_frst_forestmethane_secondary_kt_ch4_ha,274,1.0,1.0,1e-06
ef_frst_sequestration_mangroves_kt_co2_ha,275,1.0,1.0,0.0045157384549503
ef_frst_sequestration_primary_kt_co2_ha,276,1.0,1.0,0.0013054058885658
ef_frst_sequestration_secondary_kt_co2_ha,277,1.0,1.0,0.0058509438334493
ef_ippu_tonne_c2f6_per_mmm_gdp_product_use_ods_other,30,1.0,1.0,6.400960698308315e-06
ef_ippu_tonne_c2f6_per_tonne_production_chemicals,278,1.0,1.0,0.0
ef_ippu_tonne_c2f6_per_tonne_production_electronics,30,1.0,1.0,2.945520757187344e-09
ef_ippu_tonne_c2f6_per_tonne_production_metals,30,1.0,1.0,9.303040565860646e-08
ef_ippu_tonne_c2h3f3_per_mmm_gdp_product_use_ods_refrigeration,30,1.0,1.0,0.291859327865795
ef_ippu_tonne_c2h3f3_per_tonne_production_chemicals,279,1.0,1.0,0.0
ef_ippu_tonne_c2hf5_per_mmm_gdp_product_use_ods_other,30,1.0,1.0,0.1568707104891849
ef_ippu_tonne_c2hf5_per_mmm_gdp_product_use_ods_refrigeration,30,1.0,1.0,0.1568707104891849
ef_ippu_tonne_c2hf5_per_tonne_production_chemicals,280,1.0,1.0,0.0
ef_ippu_tonne_c3f8_per_tonne_production_chemicals,281,1.0,1.0,0.0
ef_ippu_tonne_c3f8_per_tonne_production_electronics,30,1.0,1.0,3.724016096644103e-09
ef_ippu_tonne_c3h2f6_per_mmm_gdp_product_use_ods_other,282,1.0,1.0,0.0
ef_ippu_tonne_c3h2f6_per_mmm_gdp_product_use_ods_refrigeration,283,1.0,1.0,0.0
ef_ippu_tonne_c3h3f5_per_mmm_gdp_product_use_ods_other,30,1.0,1.0,0.0
ef_ippu_tonne_c3h3f5_per_mmm_gdp_product_use_ods_refrigeration,30,1.0,1.0,0.0
ef_ippu_tonne_c3hf7_per_mmm_gdp_product_use_ods_other,284,1.0,1.0,0.0
ef_ippu_tonne_c3hf7_per_mmm_gdp_product_use_ods_refrigeration,285,1.0,1.0,0.0
ef_ippu_tonne_c3hf7_per_tonne_production_chemicals,286,1.0,1.0,0.0
ef_ippu_tonne_c4f10_per_mmm_gdp_product_use_ods_other,30,1.0,1.0,1.280048910120881e-05
ef_ippu_tonne_c4f10_per_tonne_production_chemicals,287,1.0,1.0,0.0
ef_ippu_tonne_c4f6_per_tonne_production_electronics,30,1.0,1.0,2e-06
ef_ippu_tonne_c4f8o_per_tonne_production_electronics,30,1.0,1.0,4e-08
